id;region;fecha;hora;es_dia;temperatura_2m;lluvia_mm;humedad_relativa_2m;temperatura_aparente;radiacion_directa;cod_clima;presion_msl
153;oriente;26/1/2020;0:00;0;19.3;1.10;97;22.2;0.8;51;1016.4
154;sierra;26/1/2020;12:00;1;13.7;2.00;100;13.4;205.3;51;1020.7
155;costa;26/1/2020;12:00;1;23.2;0.00;96;27.4;0.8;1;1013.4
156;oriente;26/1/2020;12:00;1;23.0;3.20;98;27.6;39.2;53;1017.3
157;sierra;27/1/2020;0:00;0;10.3;0.40;82;9.4;2.3;51;1020.5
158;costa;27/1/2020;0:00;0;26.6;7.30;91;32.7;205.5;55;1011.7
159;oriente;27/1/2020;0:00;0;19.7;1.00;92;22.5;7.2;51;1016.4
160;sierra;27/1/2020;12:00;1;12.8;1.00;98;12.5;279.7;51;1021.6
161;costa;27/1/2020;12:00;1;23.4;3.30;98;28.5;0.0;53;1013.8
162;oriente;27/1/2020;12:00;1;22.7;2.40;96;27.4;61.2;51;1018.3
163;sierra;28/1/2020;0:00;0;11.4;0.00;67;10.1;12.7;2;1019.2
164;costa;28/1/2020;0:00;0;27.6;0.00;74;32.1;316.2;2;1011.0
165;oriente;28/1/2020;0:00;0;19.9;0.30;89;22.4;3.8;51;1015.8
166;sierra;28/1/2020;12:00;1;13.3;0.10;73;11.9;300.0;51;1019.7
167;costa;28/1/2020;12:00;1;24.0;1.80;94;28.7;0.7;51;1013.9
168;oriente;28/1/2020;12:00;1;21.8;2.60;99;25.8;24.8;51;1017.5
169;sierra;29/1/2020;0:00;0;10.1;0.10;91;9.4;7.2;51;1019.2
170;costa;29/1/2020;0:00;0;26.5;0.00;78;30.5;225.0;3;1010.3
171;oriente;29/1/2020;0:00;0;19.6;0.50;94;22.6;11.2;51;1015.7
172;sierra;29/1/2020;12:00;1;12.4;2.90;100;12.1;207.8;51;1020.4
173;costa;29/1/2020;12:00;1;24.1;1.40;97;29.9;0.3;51;1013.6
174;oriente;29/1/2020;12:00;1;24.1;0.70;75;26.6;164.7;51;1016.4
175;sierra;30/1/2020;0:00;0;9.6;0.70;99;9.2;4.2;51;1020.8
176;costa;30/1/2020;0:00;0;27.8;0.30;77;33.1;187.5;51;1009.8
177;oriente;30/1/2020;0:00;0;19.5;0.80;94;22.0;10.5;51;1015.6
178;sierra;30/1/2020;12:00;1;11.6;0.30;89;10.7;140.0;51;1021.5
179;costa;30/1/2020;12:00;1;23.8;0.20;97;29.0;0.7;51;1011.5
180;oriente;30/1/2020;12:00;1;23.4;2.40;89;27.7;98.2;51;1017.2
181;sierra;31/1/2020;0:00;0;9.3;1.70;96;8.7;6.3;51;1021.7
182;costa;31/1/2020;0:00;0;27.4;3.10;81;32.7;162.0;53;1009.1
183;oriente;31/1/2020;0:00;0;20.2;0.40;95;23.2;11.7;51;1015.7
184;sierra;31/1/2020;12:00;1;11.5;0.30;81;10.1;107.0;51;1022.1
185;costa;31/1/2020;12:00;1;23.5;0.10;93;27.9;0.2;51;1011.3
186;oriente;31/1/2020;12:00;1;25.1;1.40;66;27.9;234.3;51;1016.1
187;sierra;1/2/2020;0:00;0;8.1;0.10;87;6.3;4.8;51;1021.5
188;costa;1/2/2020;0:00;0;26.1;1.50;90;32.1;175.7;51;1009.9
189;oriente;1/2/2020;0:00;0;19.6;0.20;93;22.0;11.2;51;1014.9
190;sierra;1/2/2020;12:00;1;10.5;2.30;100;9.9;8.8;51;1022.3
191;costa;1/2/2020;12:00;1;23.7;4.00;96;28.8;0.5;53;1012.4
192;oriente;1/2/2020;12:00;1;26.8;0.00;63;29.7;200.0;3;1015.6
193;sierra;2/2/2020;0:00;0;8.9;2.80;89;7.3;0.0;51;1021.7
194;costa;2/2/2020;0:00;0;26.3;3.00;82;31.1;120.3;53;1010.4
195;oriente;2/2/2020;0:00;0;20.0;0.00;88;22.2;2.7;3;1015.2
196;sierra;2/2/2020;12:00;1;11.8;0.60;84;10.7;210.8;51;1022.6
197;costa;2/2/2020;12:00;1;24.3;0.40;95;29.4;0.3;51;1011.5
198;oriente;2/2/2020;12:00;1;25.8;0.10;61;28.2;144.7;51;1015.8
199;sierra;3/2/2020;0:00;0;9.8;0.70;85;8.4;4.3;51;1021.3
200;costa;3/2/2020;0:00;0;26.2;0.90;89;32.1;200.0;51;1010.2
201;oriente;3/2/2020;0:00;0;20.5;7.30;98;23.7;2.2;55;1015.8
202;sierra;3/2/2020;12:00;1;12.5;0.80;80;11.3;149.8;51;1022.3
203;costa;3/2/2020;12:00;1;24.3;0.40;97;29.6;0.2;51;1011.7
204;oriente;3/2/2020;12:00;1;22.7;2.70;92;26.9;39.8;51;1017.7
205;sierra;4/2/2020;0:00;0;9.5;0.40;85;8.4;6.7;51;1021.5
206;costa;4/2/2020;0:00;0;27.0;4.70;86;32.6;209.2;53;1009.8
207;oriente;4/2/2020;0:00;0;19.8;0.50;92;22.2;6.3;51;1014.9
208;sierra;4/2/2020;12:00;1;11.8;0.50;82;10.4;201.8;51;1021.8
209;costa;4/2/2020;12:00;1;23.8;0.10;97;29.0;0.3;51;1012.1
210;oriente;4/2/2020;12:00;1;25.7;1.40;63;27.9;172.8;51;1016.4
211;sierra;5/2/2020;0:00;0;8.3;0.10;92;7.1;1.8;51;1021.1
212;costa;5/2/2020;0:00;0;28.2;0.70;81;34.1;253.3;51;1008.9
213;oriente;5/2/2020;0:00;0;19.4;0.00;93;21.7;16.7;0;1014.8
214;sierra;5/2/2020;12:00;1;14.0;0.00;58;12.0;371.5;1;1019.4
215;costa;5/2/2020;12:00;1;24.5;0.70;96;29.7;0.3;51;1011.1
216;oriente;5/2/2020;12:00;1;27.4;0.00;51;29.3;328.0;2;1014.4
217;sierra;6/2/2020;0:00;0;9.5;0.20;79;8.0;18.2;51;1020.0
218;costa;6/2/2020;0:00;0;26.2;1.30;87;31.2;231.7;51;1007.8
219;oriente;6/2/2020;0:00;0;19.5;0.00;87;21.1;14.2;2;1013.5
220;sierra;6/2/2020;12:00;1;12.5;0.00;68;10.8;357.2;2;1020.6
221;costa;6/2/2020;12:00;1;24.2;3.70;92;29.2;0.0;53;1010.9
222;oriente;6/2/2020;12:00;1;27.6;0.00;46;28.8;334.2;3;1014.6
223;sierra;7/2/2020;0:00;0;8.5;0.50;90;7.2;12.7;51;1020.6
224;costa;7/2/2020;0:00;0;27.8;0.00;78;32.9;287.5;3;1007.6
225;oriente;7/2/2020;0:00;0;19.6;0.00;80;20.8;13.7;0;1014.2
226;sierra;7/2/2020;12:00;1;11.1;0.30;93;10.4;265.3;51;1021.4
227;costa;7/2/2020;12:00;1;25.0;0.00;87;29.9;0.2;3;1010.7
228;oriente;7/2/2020;12:00;1;27.7;0.00;44;28.8;341.5;1;1014.8
229;sierra;8/2/2020;0:00;0;9.5;0.10;84;8.4;12.8;51;1020.7
230;costa;8/2/2020;0:00;0;26.5;18.90;93;32.9;190.8;63;1009.9
231;oriente;8/2/2020;0:00;0;20.4;0.00;73;21.5;11.8;1;1015.5
232;sierra;8/2/2020;12:00;1;12.8;0.10;88;12.1;301.7;51;1020.2
