id;velocidad_viento_10m;presion_superficie;temp_suelo_7cm;humedad_suelo_7cm;temp_suelo_250cm
5939;7.9;1014.8;22.7;0.310;25.7
5940;1.8;896.3;20.9;0.429;21.2
5941;1.3;714.4;7.9;0.413;10.2
5942;11.5;1012.9;26.9;0.309;25.7
5943;3.3;892.3;19.2;0.411;21.2
5944;5.0;716.2;12.7;0.406;10.2
5945;3.9;1013.8;23.2;0.309;25.7
5946;5.4;895.1;23.2;0.397;21.2
5947;1.6;714.2;7.0;0.411;10.2
5948;13.0;1010.3;28.9;0.309;25.7
5949;3.0;891.7;20.3;0.383;21.2
5950;6.2;717.2;15.4;0.391;10.2
5951;4.3;1014.0;23.7;0.310;25.7
5952;3.6;894.7;24.0;0.384;21.2
5953;1.3;713.7;9.5;0.377;10.2
5954;7.9;1012.8;27.1;0.309;25.7
5955;2.9;892.1;20.9;0.368;21.2
5956;7.6;717.1;15.8;0.371;10.2
5957;7.3;1014.8;23.7;0.310;25.7
5958;5.1;895.1;23.4;0.396;21.2
5959;2.8;714.5;9.8;0.357;10.2
5960;10.8;1012.1;28.0;0.308;25.7
5961;4.7;894.4;20.7;0.425;21.2
5962;6.8;717.0;15.2;0.357;10.2
5963;3.6;1014.8;23.5;0.308;25.7
5964;3.2;895.7;21.0;0.413;21.2
5965;2.3;714.0;9.0;0.362;10.2
5966;10.0;1012.4;27.2;0.315;25.7
5967;2.5;892.2;19.8;0.389;21.2
5968;6.7;717.1;15.9;0.353;10.2
5969;3.7;1013.7;23.4;0.320;25.7
5970;5.6;895.4;22.4;0.386;21.2
5971;1.9;713.7;8.7;0.367;10.2
5972;11.0;1010.8;29.0;0.314;25.7
5973;2.9;892.5;19.7;0.374;21.2
5974;7.6;717.0;16.0;0.358;10.2
5975;3.3;1013.8;24.5;0.315;25.7
5976;2.4;894.8;21.9;0.379;21.2
5977;0.4;714.6;8.6;0.362;10.2
5978;11.2;1010.1;28.8;0.311;25.8
5979;3.1;893.4;19.3;0.378;21.2
5980;5.2;717.5;14.9;0.359;10.2
5981;2.9;1014.2;23.5;0.313;25.8
5982;3.0;895.6;23.3;0.373;21.2
5983;3.9;714.6;10.4;0.343;10.2
5984;12.4;1011.0;27.7;0.316;25.8
5985;6.5;894.0;20.6;0.371;21.2
5986;6.9;716.7;12.6;0.406;10.2
5987;4.1;1013.6;23.8;0.317;25.8
5988;4.7;895.4;22.4;0.380;21.2
5989;0.8;713.5;7.7;0.401;10.2
5990;12.2;1010.2;27.1;0.313;25.8
5991;3.3;893.0;20.5;0.376;21.2
5992;7.2;716.7;15.0;0.386;10.2
5993;5.0;1012.2;23.6;0.313;25.8
5994;0.5;894.6;22.5;0.382;21.2
5995;2.8;713.6;7.8;0.394;10.2
5996;12.3;1009.4;28.1;0.309;25.8
5997;4.9;892.2;20.5;0.360;21.2
5998;5.7;716.8;14.6;0.379;10.2
5999;3.7;1012.4;23.3;0.309;25.8
6000;2.2;895.4;24.4;0.363;21.2
6001;4.3;713.2;8.0;0.373;10.2
6002;9.5;1010.4;27.5;0.314;25.8
6003;6.2;892.4;20.5;0.343;21.2
6004;7.2;718.0;15.8;0.363;10.2
6005;2.6;1014.0;23.5;0.320;25.8
6006;5.5;895.9;24.4;0.341;21.2
6007;1.8;715.1;9.2;0.341;10.2
6008;9.8;1011.1;28.6;0.320;25.8
6009;4.7;892.1;21.1;0.325;21.2
6010;6.7;717.6;16.5;0.335;10.2
6011;5.6;1014.3;23.8;0.321;25.8
6012;4.8;895.4;24.1;0.326;21.2
6013;1.8;712.3;9.8;0.336;10.2
6014;5.4;1012.6;28.4;0.323;25.8
6015;2.2;892.5;20.0;0.340;21.3
6016;6.1;716.7;15.8;0.338;10.3
6017;5.5;1014.2;23.2;0.331;25.8
6018;4.0;894.7;23.4;0.351;21.3
6019;1.4;713.2;9.5;0.333;10.3
6020;16.7;1010.5;28.4;0.331;25.8
6021;1.1;891.2;20.6;0.331;21.3
6022;5.6;715.5;15.6;0.337;10.3
6023;3.7;1013.1;23.6;0.332;25.8
6024;2.4;893.5;22.5;0.390;21.3
6025;2.9;714.0;9.6;0.410;10.3
6026;14.5;1009.8;28.4;0.329;25.8
6027;4.0;892.9;20.5;0.398;21.3
